"food.probability","energy","energy.sd","temperature","temperature.sd","population.density","pop.size","sex.ratio","replicate_num","median_moves"
"0.1","5","2","85","10","0","100","0.5","1","4"
"0.1","5","2","85","10","0","100","0.5","2","5"
"0.25","20","2","85","10","0","100","0.5","1","5"
"0.25","20","2","85","10","0","100","0.5","2","15"
"0.5","20","2","85","10","0","100","0.5","1","15"
"0.5","20","2","85","10","0","100","0.5","2","14"
"0.75","20","2","85","10","0","100","0.5","1","5"
"0.75","20","2","85","10","0","100","0.5","2","14"
"0.1","50","2","85","10","0","100","0.5","1","25"
"0.1","50","2","85","10","0","100","0.5","2","4"
"0.25","50","2","85","10","0","100","0.5","1","4"
"0.25","50","2","85","10","0","100","0.5","2","4"
"0.5","50","2","85","10","0","100","0.5","1","5"
"0.5","50","2","85","10","0","100","0.5","2","15"
"0.75","50","2","85","10","0","100","0.5","1","5"
"0.75","50","2","85","10","0","100","0.5","2","5"
"0.1","5","2","85","10","0.5","100","0.5","1","15"
"0.1","5","2","85","10","0.5","100","0.5","2","15"
"0.25","5","2","85","10","0.5","100","0.5","1","5"
"0.25","5","2","85","10","0.5","100","0.5","2","5"
"0.5","5","2","85","10","0.5","100","0.5","1","15"
"0.5","5","2","85","10","0.5","100","0.5","2","5"
"0.25","5","2","85","10","0","100","0.5","1","4"
"0.25","5","2","85","10","0","100","0.5","2","4"
"0.75","5","2","85","10","0.5","100","0.5","1","15"
"0.75","5","2","85","10","0.5","100","0.5","2","5"
"0.1","10","2","85","10","0.5","100","0.5","1","4"
"0.1","10","2","85","10","0.5","100","0.5","2","15"
"0.25","10","2","85","10","0.5","100","0.5","1","25"
"0.25","10","2","85","10","0.5","100","0.5","2","15"
"0.5","10","2","85","10","0.5","100","0.5","1","15"
"0.5","10","2","85","10","0.5","100","0.5","2","5"
"0.75","10","2","85","10","0.5","100","0.5","1","5"
"0.75","10","2","85","10","0.5","100","0.5","2","25"
"0.1","20","2","85","10","0.5","100","0.5","1","5"
"0.1","20","2","85","10","0.5","100","0.5","2","5"
"0.25","20","2","85","10","0.5","100","0.5","1","15"
"0.25","20","2","85","10","0.5","100","0.5","2","25"
"0.5","20","2","85","10","0.5","100","0.5","1","15"
"0.5","20","2","85","10","0.5","100","0.5","2","25"
"0.75","20","2","85","10","0.5","100","0.5","1","15"
"0.75","20","2","85","10","0.5","100","0.5","2","5"
"0.1","50","2","85","10","0.5","100","0.5","1","15"
"0.1","50","2","85","10","0.5","100","0.5","2","5"
"0.5","5","2","85","10","0","100","0.5","1","5"
