"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"1","f","9.16330082101096","1","12","87.8674089565723",NA,"0",NA
"2","f","9.16330082101096","1","12","87.8674089565723",NA,"0",NA
"3","f","9.16330082101096","1","12","87.8674089565723",NA,"0",NA
"4","f","9.16330082101096","1","12","87.8674089565723",NA,"0",NA
"5","f","9.16330082101096","1","0","88.2142257460693",NA,"1",NA
"6","f","9.16330082101096","1","13","81.2812574460087",NA,"2",NA
"7","f","9.16330082101096","1","0","63.2765162824644",NA,"3",NA
"8","f","9.16330082101096","1","0","63.2765162824644",NA,"3",NA
"9","f","9.16330082101096","1","0","63.2765162824644",NA,"3",NA
"10","f","9.16330082101096","1","0","103.178628775588",NA,"4",NA
"11","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"12","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"13","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"14","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"15","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"16","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"17","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"18","m","14.1683497269401","2","7","98.9513419183029",NA,"1",NA
"19","m","14.1683497269401","2","13","78.8709390311632",NA,"2",NA
"20","m","14.1683497269401","2","0","70.3678105420937",NA,"3",NA
"21","f","11.7486472307215","3","0","70.3678105420937",NA,"0",NA
"22","f","11.7486472307215","3","11","97.428825033781",NA,"1",NA
"23","f","11.7486472307215","3","0","105.289787272217",NA,"2",NA
"24","f","11.7486472307215","3","0","95.0969326065244",NA,"3",NA
"25","f","11.7486472307215","3","0","95.0969326065244",NA,"3",NA
"26","f","11.7486472307215","3","0","95.0969326065244",NA,"3",NA
"27","f","11.7486472307215","3","0","86.6567092848228",NA,"4",NA
"28","f","11.7486472307215","3","0","83.1439906351793",NA,"5",NA
"29","f","11.7486472307215","3","0","83.1439906351793",NA,"5",NA
"30","f","11.7486472307215","3","0","83.1439906351793",NA,"5",NA
"31","m","12.739414884414","4","0","83.1439906351793",NA,"0",NA
"32","m","12.739414884414","4","0","83.1439906351793",NA,"0",NA
"33","m","12.739414884414","4","0","83.1439906351793",NA,"0",NA
"34","m","12.739414884414","4","0","83.1439906351793",NA,"0",NA
"35","m","12.739414884414","4","0","83.1439906351793",NA,"0",NA
"36","m","12.739414884414","4","0","73.041602252353",NA,"1",NA
"37","m","12.739414884414","4","0","79.4945581700657",NA,"2",NA
