"","food.probability","energy","energy.sd","temperature","temperature.sd","population.density","pop.size","sex.ratio","replicate_num","median_moves"
"1","0.1","5","2","85","10","0","100","0.5","1","4"
"2","0.1","5","2","85","10","0","100","0.5","2","25"
"3","0.25","20","2","85","10","0","100","0.5","1","5"
"4","0.25","20","2","85","10","0","100","0.5","2","25"
"5","0.5","20","2","85","10","0","100","0.5","1","5"
"6","0.5","20","2","85","10","0","100","0.5","2","24"
"7","0.75","20","2","85","10","0","100","0.5","1","25"
"8","0.75","20","2","85","10","0","100","0.5","2","5"
"9","0.1","50","2","85","10","0","100","0.5","1","15"
"10","0.1","50","2","85","10","0","100","0.5","2","15"
"11","0.25","50","2","85","10","0","100","0.5","1","5"
"12","0.25","50","2","85","10","0","100","0.5","2","5"
"13","0.5","50","2","85","10","0","100","0.5","1","5"
"14","0.5","50","2","85","10","0","100","0.5","2","15"
"15","0.75","50","2","85","10","0","100","0.5","1","5"
"16","0.75","50","2","85","10","0","100","0.5","2","25"
"17","0.1","5","2","85","10","0.5","100","0.5","1","15"
"18","0.1","5","2","85","10","0.5","100","0.5","2","25"
"19","0.25","5","2","85","10","0.5","100","0.5","1","26"
"20","0.25","5","2","85","10","0.5","100","0.5","2","5"
"21","0.5","5","2","85","10","0.5","100","0.5","1","5"
"22","0.5","5","2","85","10","0.5","100","0.5","2","15"
"23","0.25","5","2","85","10","0","100","0.5","1","14"
"24","0.25","5","2","85","10","0","100","0.5","2","15"
"25","0.75","5","2","85","10","0.5","100","0.5","1","5"
"26","0.75","5","2","85","10","0.5","100","0.5","2","25"
"27","0.1","10","2","85","10","0.5","100","0.5","1","5"
"28","0.1","10","2","85","10","0.5","100","0.5","2","25"
"29","0.25","10","2","85","10","0.5","100","0.5","1","25"
"30","0.25","10","2","85","10","0.5","100","0.5","2","25"
"31","0.5","10","2","85","10","0.5","100","0.5","1","15"
"32","0.5","10","2","85","10","0.5","100","0.5","2","5"
"33","0.75","10","2","85","10","0.5","100","0.5","1","5"
"34","0.75","10","2","85","10","0.5","100","0.5","2","25"
"35","0.1","20","2","85","10","0.5","100","0.5","1","15"
"36","0.1","20","2","85","10","0.5","100","0.5","2","15"
"37","0.25","20","2","85","10","0.5","100","0.5","1","15"
"38","0.25","20","2","85","10","0.5","100","0.5","2","5"
"39","0.5","20","2","85","10","0.5","100","0.5","1","4"
"40","0.5","20","2","85","10","0.5","100","0.5","2","4"
"41","0.75","20","2","85","10","0.5","100","0.5","1","26"
"42","0.75","20","2","85","10","0.5","100","0.5","2","5"
"43","0.1","50","2","85","10","0.5","100","0.5","1","25"
"44","0.1","50","2","85","10","0.5","100","0.5","2","5"
"45","0.5","5","2","85","10","0","100","0.5","1","5"
"46","0.5","5","2","85","10","0","100","0.5","2","4"
"47","0.25","50","2","85","10","0.5","100","0.5","1","4"
"48","0.25","50","2","85","10","0.5","100","0.5","2","15"
"49","0.5","50","2","85","10","0.5","100","0.5","1","25"
"50","0.5","50","2","85","10","0.5","100","0.5","2","14"
"51","0.75","50","2","85","10","0.5","100","0.5","1","15"
"52","0.75","50","2","85","10","0.5","100","0.5","2","4"
"53","0.1","5","2","85","10","1","100","0.5","1","5"
"54","0.1","5","2","85","10","1","100","0.5","2","15"
"55","0.25","5","2","85","10","1","100","0.5","1","14.5"
"56","0.25","5","2","85","10","1","100","0.5","2","4"
"57","0.5","5","2","85","10","1","100","0.5","1","4"
"58","0.5","5","2","85","10","1","100","0.5","2","25"
"59","0.75","5","2","85","10","1","100","0.5","1","15"
"60","0.75","5","2","85","10","1","100","0.5","2","4"
"61","0.1","10","2","85","10","1","100","0.5","1","5"
"62","0.1","10","2","85","10","1","100","0.5","2","14"
"63","0.25","10","2","85","10","1","100","0.5","1","25"
"64","0.25","10","2","85","10","1","100","0.5","2","25"
